HH,DAY,TOWN,YEARS,SEX,AGE,STATUS,EDUC,DISABLED,HEAD,SEX_HH,AGE_HH,STATUS_HH,EDUC_HH,DISABLED_HH,AGE_HH_SPOUSE,EDUC_HH_SPOUSE,DISABLED_HH_SPOUSE,HH_SIZE,N_ADULTS,PRIMARY_WS,SUFFICIENT_WATER,TOTAL_TIME,PAY_WATER,TOTAL_COST,ELECTRIC,TOTAL_INCOME,TIME_LENGTH
6,12,0,14,0,44,2,4,0,1,0,44,2,4,0,34,2,0,8,4,2,1,0,0,0,1,NA,57
7,12,0,22,0,26,2,3,0,1,0,26,2,3,0,22,2,0,3,2,2,1,0,1,0,0,NA,50
8,12,0,8,0,33,1,3,0,1,0,33,1,3,0,28,4,0,8,2,9,0,2,0,60.83333333,1,6000,43
9,12,0,10,1,54,4,2,0,1,1,54,4,2,0,9998,9998,9998,1,1,4,0,14,0,0,1,NA,60
10,12,0,4,1,29,1,3,0,0,0,30,1,4,0,29,3,0,5,2,4,1,14,1,60.83333333,1,5000,39
11,13,0,3,1,41,5,2,0,1,1,41,5,2,0,9998,9998,9998,3,1,4,0,6,0,0,1,NA,33
12,13,0,10,0,40,2,9999,1,1,0,40,2,9999,1,35,1,0,8,3,4,1,11,0,0,1,NA,36
13,13,0,3,1,28,1,4,0,0,0,31,1,4,0,28,4,0,6,4,2,1,0,1,0,1,3000,45
14,13,0,2,1,32,3,3,0,1,1,32,3,3,0,9998,9998,9998,2,1,6,1,3,1,0,1,NA,68
15,13,0,1,0,28,2,4,0,1,0,28,2,4,0,26,3,0,5,2,4,0,6,0,0,0,NA,41
1,8,0,43,1,57,5,0,0,1,1,57,5,0,0,9998,9998,9998,6,4,2,1,0,1,420,1,4779.761905,50
2,8,0,3,0,37,1,4,0,1,0,37,1,4,0,33,4,0,6,4,2,1,0,1,725,1,NA,50
3,8,0,20,1,43,1,2,0,1,1,43,1,2,0,NA,NA,NA,6,3,NA,1,NA,0,0,0,NA,55
4,8,0,12,1,30,5,3,0,1,1,30,5,3,0,9998,9998,9998,4,2,3,1,9,1,20,0,8690.47619,65
5,8,0,60,1,62,4,1,0,1,1,62,4,1,0,9998,9998,9998,4,NA,3,0,34,0,0,1,NA,55
6,8,0,20,1,39,1,0,0,0,0,73,1,9999,0,39,0,0,7,2,2,1,0,1,500,1,NA,53
7,8,0,60,0,75,1,9999,0,1,0,75,1,9999,0,60,9999,0,3,1,2,1,0,1,375,1,NA,65
8,8,0,43,1,57,5,0,0,1,1,57,5,0,0,9998,9998,9998,6,4,2,1,0,1,420,1,4779.761905,50
9,10,0,14,0,47,1,2,0,1,0,47,1,2,0,35,3,0,7,3,2,1,0,1,100,1,NA,68
10,10,0,36,0,60,1,9999,0,1,0,60,1,9999,0,50,9999,0,11,7,2,0,0,0,0,1,NA,67
11,10,0,26,1,41,4,2,0,1,1,41,4,2,0,9998,9998,9998,2,1,4,1,9999,0,0,0,NA,50
12,10,0,30,0,62,1,9999,0,1,0,62,1,9999,0,NA,NA,NA,8,3,2,1,0,1,184,1,3000,50
13,10,0,23,1,23,0,3,0,1,1,23,0,3,0,9998,9998,9998,1,1,6,1,15,0,0,1,NA,34
14,10,0,12,0,43,1,0,1,1,0,43,1,0,1,36,0,0,10,4,2,1,0,1,0,1,NA,92
15,11,0,21,0,49,0,3,1,1,0,49,0,3,1,9998,9998,9998,7,3,2,1,0,0,0,1,NA,33
1,10,0,32,1,53,5,1,0,1,1,53,5,1,0,9998,9998,9998,4,1,4,1,3,0,0,1,NA,50
2,10,0,12,1,45,0,2,1,1,1,45,0,2,1,9998,9998,9998,5,3,4,1,9999,1,38,1,NA,43
3,10,0,20,1,20,1,3,0,0,0,25,1,4,0,20,3,0,7,5,2,1,0,1,304.1666667,1,2172.619048,42
4,10,0,60,1,32,0,3,0,1,1,32,0,3,0,9998,9998,9998,8,5,2,1,0,1,608.3333333,0,NA,35
5,10,0,5,0,40,1,1,0,1,0,40,1,1,0,39,2,0,7,4,2,1,0,1,600,1,NA,55
6,11,0,50,0,52,2,3,0,1,0,52,2,3,0,37,2,0,6,4,2,0,0,1,228,1,5600,40
7,11,0,5,1,55,0,9999,1,1,1,55,0,9999,1,9998,9998,9998,7,4,2,1,0,1,300,1,NA,55
8,11,0,40,0,65,1,5,0,1,0,65,1,5,0,62,9999,0,10,6,2,0,0,0,0,1,NA,59
9,11,0,1,0,32,1,3,0,1,0,32,1,3,0,29,4,0,7,3,2,1,0,0,0,1,NA,43
10,11,0,8,0,30,2,3,1,1,0,30,2,3,1,28,3,0,7,4,4,1,31,1,45,1,2172.619048,37
11,11,0,0.416666667,0,45,1,9999,1,1,0,45,1,9999,1,40,9999,0,5,3,4,1,13,0,0,1,NA,50
12,11,0,10,0,33,1,5,0,1,0,33,1,5,0,33,5,0,4,3,2,0,0,1,NA,1,NA,34
13,11,0,5,0,48,2,9999,1,1,0,48,2,9999,1,39,2,0,8,5,2,1,0,1,300,1,NA,37
14,11,0,3,0,29,1,4,0,1,0,29,1,4,0,25,4,0,5,2,2,1,0,0,0,1,NA,30
